"Company","Specific_Bean_Origin_or_Bar_Name","REF","Review_Date","Cocoa_Percentage","Company_Location","Rating","Broad_Bean_Origin","Chocolate_Type"
"Alain Ducasse","Trinite",1215,2014,65,"France",2.75,"Trinidad","Deserowa"
"Alain Ducasse","Vietnam",1215,2014,75,"France",2.75,"Vietnam","Gorzka"
"Alain Ducasse","Madagascar",1215,2014,75,"France",3,"Madagascar","Gorzka"
"Alain Ducasse","Chuao",1061,2013,75,"France",2.5,"Venezuela","Gorzka"
"Alain Ducasse","Piura, Perou",1173,2013,75,"France",2.5,"Peru","Gorzka"
"Alexandre","Winak Coop, Napo",1944,2017,70,"Netherlands",3.5,"Ecuador","Deserowa"
"Alexandre","La Dalia, Matagalpa",1944,2017,70,"Netherlands",3.5,"Nicaragua","Deserowa"
"Alexandre","Tien Giang",1944,2017,70,"Netherlands",3.5,"Vietnam","Deserowa"
"Alexandre","Makwale Village, Kyela",1944,2017,70,"Netherlands",3.5,"Tanzania","Deserowa"
"Altus aka Cao Artisan","Momotombo",1728,2016,60,"U.S.A.",2.75,"Nicaragua","Deserowa"
"Altus aka Cao Artisan","Acopagro",1728,2016,60,"U.S.A.",3,"Peru","Deserowa"
"Altus aka Cao Artisan","CIAAB Coop",1732,2016,60,"U.S.A.",2.5,"Bolivia","Deserowa"
"Altus aka Cao Artisan","Villa Andina",1732,2016,60,"U.S.A.",2.5,"Peru","Deserowa"
"Altus aka Cao Artisan","Gruppo Salinas",1732,2016,60,"U.S.A.",2.75,"Ecuador","Deserowa"
"Altus aka Cao Artisan","Sur del Lago",1125,2013,60,"U.S.A.",2.5,"Venezuela","Deserowa"
"Altus aka Cao Artisan","Conacado",1125,2013,60,"U.S.A.",3,"Dominican Republic","Deserowa"
"Altus aka Cao Artisan","Bolivia",1129,2013,80,"U.S.A.",3.25,"Bolivia","Gorzka"
"Altus aka Cao Artisan","Bolivia",1133,2013,60,"U.S.A.",3,"Bolivia","Deserowa"
"Altus aka Cao Artisan","Peru",1133,2013,60,"U.S.A.",3.25,"Peru","Deserowa"
"Amano","Morobe",725,2011,70,"U.S.A.",4,"Papua New Guinea","Deserowa"
"Amano","Dos Rios",470,2010,70,"U.S.A.",3.75,"Dominican Republic","Deserowa"
"Amano","Guayas",470,2010,70,"U.S.A.",4,"Ecuador","Deserowa"
"Amano","Chuao",544,2010,70,"U.S.A.",3,"Venezuela","Deserowa"
"Amano","Montanya",363,2009,70,"U.S.A.",3,"Venezuela","Deserowa"
"Amano","Bali, Jembrana",304,2008,70,"U.S.A.",2.75,"Indonesia","Deserowa"
"Amano","Madagascar",129,2007,70,"U.S.A.",3.5,"Madagascar","Deserowa"
"Amano","Cuyagua",147,2007,70,"U.S.A.",3,"Venezuela","Deserowa"
"Amano","Ocumare",175,2007,70,"U.S.A.",3.75,"Venezuela","Deserowa"
"Amatller (Simon Coll)","Ghana",322,2009,70,"Spain",3,"Ghana","Deserowa"
"Amatller (Simon Coll)","Ecuador",327,2009,70,"Spain",2.75,"Ecuador","Deserowa"
"Amatller (Simon Coll)","Ecuador",464,2009,85,"Spain",2.75,"Ecuador","Gorzka"
"Amatller (Simon Coll)","Ghana",464,2009,85,"Spain",3,"Ghana","Gorzka"
"Amazona","LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72,"Peru",3.25,"Peru","Gorzka"
"Amazona","Bellavista Gran Pajeten, San Martin",1145,2013,73,"Peru",3.5,"Peru","Gorzka"
"Ambrosia","Belize",1494,2015,64,"Canada",3,"Belize","Deserowa"
"Ambrosia","Madagascar",1494,2015,66,"Canada",3.25,"Madagascar","Deserowa"
"Ambrosia","Dominican Republic",1498,2015,75,"Canada",3.25,"Dominican Republic","Gorzka"
"Ambrosia","Papua New Guinea",1498,2015,63,"Canada",3.25,"Papua New Guinea","Deserowa"
"Ambrosia","Venezuela",1498,2015,70,"Canada",3.25,"Venezuela","Deserowa"
"Ambrosia","Peru",1498,2015,68,"Canada",3.5,"Peru","Deserowa"
"Amedei","Piura, Blanco de Criollo",979,2012,70,"Italy",3.75,"Peru","Deserowa"
"Amedei","Porcelana",111,2007,70,"Italy",4,"Venezuela","Deserowa"
"Amedei","Nine",111,2007,75,"Italy",4," ","Gorzka"
"Amedei","Chuao",111,2007,70,"Italy",5,"Venezuela","Deserowa"
"Amedei","Ecuador",123,2007,70,"Italy",3,"Ecuador","Deserowa"
"Amedei","Jamaica",123,2007,70,"Italy",3,"Jamaica","Deserowa"
"Amedei","Grenada",123,2007,70,"Italy",3.5,"Grenada","Deserowa"
"Amedei","Venezuela",123,2007,70,"Italy",3.75,"Venezuela","Deserowa"
"Amedei","Madagascar",123,2007,70,"Italy",4,"Madagascar","Deserowa"
"Amedei","Trinidad",129,2007,70,"Italy",3.5,"Trinidad","Deserowa"
"Amedei","Toscano Black",170,2007,63,"Italy",3.5," ","Deserowa"
"Amedei","Toscano Black",40,2006,70,"Italy",5," ","Deserowa"
"Amedei","Toscano Black",75,2006,66,"Italy",4," ","Deserowa"
"AMMA","Catongo",1065,2013,75,"Brazil",3.25,"Brazil","Gorzka"
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,85,"Brazil",2.75,"Brazil","Gorzka"
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,50,"Brazil",3.75,"Brazil","Mleczna"
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,75,"Brazil",3.75,"Brazil","Gorzka"
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,60,"Brazil",4,"Brazil","Deserowa"
"Anahata","Elvesia",1259,2014,75,"U.S.A.",3,"Dominican Republic","Gorzka"
"Animas","Alto Beni",1852,2016,75,"U.S.A.",3.5,"Bolivia","Gorzka"
"Ara","Madagascar",1375,2014,75,"France",3,"Madagascar","Gorzka"
"Ara","Chiapas",1379,2014,72,"France",2.5,"Mexico","Gorzka"
"Ara","Equateur",1379,2014,75,"France",2.75,"Ecuador","Gorzka"
"Ara","Trincheras",1379,2014,75,"France",3,"Venezuela","Gorzka"
"Arete","San Juan",1724,2016,70,"U.S.A.",3.5,"Trinidad","Deserowa"
"Arete","Kokoa Kamili",1724,2016,70,"U.S.A.",3.75,"Tanzania","Deserowa"
"Arete","Tien Giang",1900,2016,73,"U.S.A.",3.5,"Vietnam","Gorzka"
"Arete","Hacienda Victoria",1904,2016,70,"U.S.A.",3.25,"Ecuador","Deserowa"
"Arete","Costa Esmeraldas",1904,2016,70,"U.S.A.",3.25,"Ecuador","Deserowa"
"Arete","Lachua",1904,2016,70,"U.S.A.",3.5,"Guatemala","Deserowa"
"Arete","Rugoso",1904,2016,70,"U.S.A.",3.75,"Nicaragua","Deserowa"
"Arete","La Masica, FHIA",1908,2016,70,"U.S.A.",3.5,"Honduras","Deserowa"
"Arete","Coto Brus, Terciopelo",1908,2016,70,"U.S.A.",4,"Costa Rica","Deserowa"
"Arete","Phantom",1924,2016,70,"U.S.A.",4,"Peru","Deserowa"
"Arete","Elvesia",1928,2016,70,"U.S.A.",3.75,"Dominican Republic","Deserowa"
"Arete","Matasawalevu",1928,2016,70,"U.S.A.",3.25,"Fiji","Deserowa"
"Arete","Lam Dong",1928,2016,73,"U.S.A.",3.25,"Vietnam","Gorzka"
"Arete","Fazenda Camboa",1534,2015,70,"U.S.A.",3.5,"Brazil","Deserowa"
"Arete","Nacional",1534,2015,68,"U.S.A.",3.5,"Peru","Deserowa"
"Arete","Puerto Quito, heirloom",1534,2015,70,"U.S.A.",3.75,"Ecuador","Deserowa"
"Arete","Oko Caribe",1598,2015,70,"U.S.A.",3.5,"Domincan Republic","Deserowa"
"Arete","Maya Mountain",1598,2015,70,"U.S.A.",3.75,"Belize","Deserowa"
"Arete","Chuno",1598,2015,70,"U.S.A.",4,"Nicaragua","Deserowa"
"Arete","Fazenda Camboa",1602,2015,75,"U.S.A.",2.75,"Brazil","Gorzka"
"Arete","Guatemala",1602,2015,70,"U.S.A.",3.25,"Guatemala","Deserowa"
"Arete","Camino Verde",1602,2015,75,"U.S.A.",3.5,"Ecuador","Gorzka"
"Artisan du Chocolat","Trinidad, Heritage, Limited ed.",1193,2013,72,"U.K.",3.25,"Trinidad","Gorzka"
"Artisan du Chocolat","Colombia, Casa Luker",947,2012,72,"U.K.",3.75,"Colombia","Gorzka"
"Artisan du Chocolat","Haiti",729,2011,72,"U.K.",4,"Haiti","Gorzka"
"Artisan du Chocolat","Panama",745,2011,72,"U.K.",2.75,"Panama","Gorzka"
"Artisan du Chocolat","Venezuela",486,2010,100,"U.K.",1.75,"Venezuela","Gorzka"
"Artisan du Chocolat","Jamaica",531,2010,72,"U.K.",3.75,"Jamaica","Gorzka"
"Artisan du Chocolat","Costa Rica",600,2010,72,"U.K.",3.25,"Costa Rica","Gorzka"
"Artisan du Chocolat","Ba Ria Vung Tau Province",600,2010,72,"U.K.",3.25,"Vietnam","Gorzka"
"Artisan du Chocolat","Bali",600,2010,72,"U.K.",3.5,"Indonesia","Gorzka"
"Artisan du Chocolat","Ocumare, Venezuela",355,2009,75,"U.K.",2.5,"Venezuela","Gorzka"
"Artisan du Chocolat","Java",355,2009,72,"U.K.",2.75,"Indonesia","Gorzka"
"Artisan du Chocolat","Brazil Rio Doce",363,2009,72,"U.K.",1.75,"Brazil","Gorzka"
"Artisan du Chocolat","Madagascar",363,2009,80,"U.K.",3,"Madagascar","Gorzka"
"Artisan du Chocolat","Peru",363,2009,75,"U.K.",3,"Peru","Gorzka"
"Artisan du Chocolat","Dominican Republic",363,2009,72,"U.K.",3.25,"Dominican Republic","Gorzka"
"Artisan du Chocolat","Congo",300,2008,72,"U.K.",3.75,"Congo","Gorzka"
"Artisan du Chocolat (Casa Luker)","Orinoqua Region, Arauca",1181,2013,72,"U.K.",2.75,"Colombia","Gorzka"
"Askinosie","Mababa",1780,2016,68,"U.S.A.",3.75,"Tanzania","Deserowa"
"Askinosie","Tenende, Uwate",647,2011,72,"U.S.A.",3.75,"Tanzania","Gorzka"
"Askinosie","Cortes",661,2011,70,"U.S.A.",3.75,"Honduras","Deserowa"
"Askinosie","Davao",331,2009,77,"U.S.A.",3.75,"Philippines","Gorzka"
"Askinosie","Xoconusco",141,2007,75,"U.S.A.",2.5,"Mexico","Gorzka"
"Askinosie","San Jose del Tambo",175,2007,70,"U.S.A.",3,"Ecuador","Deserowa"
"Bahen & Co.","Houseblend",1474,2015,80,"Australia",3.25," ","Gorzka"
"Bahen & Co.","Papua New Guinea",1474,2015,70,"Australia",3.5,"Papua New Guinea","Deserowa"
"Bahen & Co.","Sambirano",995,2012,70,"Australia",3,"Madagascar","Deserowa"
"Bahen & Co.","Bahia",999,2012,70,"Australia",2.5,"Brazil","Deserowa"
"Bahen & Co.","Houseblend",999,2012,70,"Australia",2.5," ","Deserowa"
"Bakau","Bambamarca, 2015",1454,2015,70,"Peru",2.75,"Peru","Deserowa"
"Bakau","Huallabamba, 2015",1454,2015,70,"Peru",3.5,"Peru","Deserowa"
"Bar Au Chocolat","Bahia",1554,2015,70,"U.S.A.",3.5,"Brazil","Deserowa"
"Bar Au Chocolat","Maranon Canyon",1295,2014,70,"U.S.A.",4,"Peru","Deserowa"
"Bar Au Chocolat","Duarte Province",983,2012,70,"U.S.A.",3.25,"Dominican Republic","Deserowa"
"Bar Au Chocolat","Chiapas",983,2012,70,"U.S.A.",3.5,"Mexico","Deserowa"
"Bar Au Chocolat","Sambirano",983,2012,70,"U.S.A.",3.75,"Madagascar","Deserowa"
"Baravelli's","single estate",955,2012,80,"Wales",2.75,"Costa Rica","Gorzka"
"Batch","Dominican Republic, Batch 3",1840,2016,65,"U.S.A.",3.5,"Domincan Republic","Deserowa"
"Batch","Brazil",1868,2016,70,"U.S.A.",3.75,"Brazil","Deserowa"
"Batch","Ecuador",1880,2016,65,"U.S.A.",3.25,"Ecuador","Deserowa"
"Beau Cacao","Asajaya E, NW Borneo, b. #132/4500",1948,2017,73,"U.K.",3,"Malaysia","Gorzka"
"Beau Cacao","Serian E., NW Borneo, b. #134/3800",1948,2017,72,"U.K.",3.25,"Malaysia","Gorzka"
"Beehive","Brazil, Batch 20316",1784,2016,80,"U.S.A.",2.75,"Brazil","Gorzka"
"Beehive","Dominican Republic, Batch 31616",1784,2016,70,"U.S.A.",2.75,"Domincan Republic","Deserowa"
"Beehive","Ecuador, Batch 31516",1784,2016,70,"U.S.A.",2.75,"Ecuador","Deserowa"
"Beehive","Ecuador",1788,2016,90,"U.S.A.",2.75,"Ecuador","Gorzka"
"Belcolade","Costa Rica",586,2010,64,"Belgium",2.75,"Costa Rica","Deserowa"
"Belcolade","Papua New Guinea",586,2010,64,"Belgium",2.75,"Papua New Guinea","Deserowa"
"Belcolade","Peru",586,2010,64,"Belgium",2.75,"Peru","Deserowa"
"Belcolade","Ecuador",586,2010,71,"Belgium",3.5,"Ecuador","Gorzka"
"Bellflower","Kakao Kamili, Kilombero Valley",1800,2016,70,"U.S.A.",3.5,"Tanzania","Deserowa"
"Bellflower","Alto Beni, Palos Blanco",1804,2016,70,"U.S.A.",3.25,"Bolivia","Deserowa"
"Bellflower","Oko Caribe, Duarte P.",1864,2016,70,"U.S.A.",3.5,"Domincan Republic","Deserowa"
"Belyzium","Belize south, low fermentation",1768,2016,83,"Germany",2.75,"Belize","Gorzka"
"Belyzium","Belize south",1768,2016,78,"Germany",3,"Belize","Gorzka"
"Belyzium","Belize south",1768,2016,83,"Germany",3.5,"Belize","Gorzka"
"Benoit Nihant","Baracoa",1141,2013,74,"Belgium",3.5,"Cuba","Gorzka"
"Benoit Nihant","Chuao",1141,2013,74,"Belgium",3.5,"Venezuela","Gorzka"
"Benoit Nihant","Cuyagua Village",1141,2013,74,"Belgium",3.5,"Venezuela","Gorzka"
"Benoit Nihant","Rio Peripa H.",1141,2013,73,"Belgium",4,"Ecuador","Gorzka"
"Benoit Nihant","Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72,"Belgium",4,"Indonesia","Gorzka"
"Benoit Nihant","Somia Plantation, Sambirano, 70hr C",773,2011,72,"Belgium",3.75,"Madagascar","Gorzka"
"Bernachon","Nature",797,2012,55,"France",2.75," ","Deserowa"
"Beschle (Felchlin)","Madagascar",636,2011,64,"Switzerland",3,"Madagascar","Deserowa"
"Beschle (Felchlin)","Maracaibo",636,2011,88,"Switzerland",3,"Venezuela","Gorzka"
"Beschle (Felchlin)","Indigena Amazonia, Grand Cru, Quizas",636,2011,72,"Switzerland",3.5,"Venezuela","Gorzka"
"Beschle (Felchlin)","Ecuador",636,2011,72,"Switzerland",4,"Ecuador","Gorzka"
"Beschle (Felchlin)","Carenero S., Barlovento, Grand Cru",508,2010,70,"Switzerland",3.25,"Venezuela","Deserowa"
"Beschle (Felchlin)","Porcelana, Premier Cru, Quizas No. 1",508,2010,74,"Switzerland",3.25,"Venezuela","Gorzka"
"Beschle (Felchlin)","Java, Grand Cru",508,2010,64,"Switzerland",3.5,"Indonesia","Deserowa"
"Beschle (Felchlin)","Ocumare, Premier Cru, Quizas No. 2",508,2010,72,"Switzerland",3.5,"Venezuela","Gorzka"
"Bisou","Nicaragua, American style",1482,2015,76,"U.S.A.",2.5,"Nicaragua","Gorzka"
"Bisou","San Andres, American style",1486,2015,76,"U.S.A.",2.5,"Costa Rica","Gorzka"
"Bisou","San Andres, silk",1486,2015,78,"U.S.A.",2.5,"Costa Rica","Gorzka"
"Bisou","Belize",1486,2015,86,"U.S.A.",3.25,"Belize","Gorzka"
"Bittersweet Origins","Ghana",963,2012,72,"U.S.A.",3.5,"Ghana","Gorzka"
"Bittersweet Origins","Bali, Singaraja",478,2010,75,"U.S.A.",3.25,"Indonesia","Gorzka"
"Bittersweet Origins","2009 Hapa Nibby",502,2010,70,"U.S.A.",3.75,"Dominican Rep., Bali","Deserowa"
"Bittersweet Origins","Bali, Singaraja",558,2010,65,"U.S.A.",2.75,"Indonesia","Deserowa"
"Bittersweet Origins","Sambirano, 2009",565,2010,70,"U.S.A.",3,"Madagascar","Deserowa"
"Bittersweet Origins","Ocumare, prototype",565,2010,78,"U.S.A.",3,"Venezuela","Gorzka"
"Bittersweet Origins","Puerto Plata",414,2009,75,"U.S.A.",3,"Dominican Republic","Gorzka"
"Bittersweet Origins","Puerto Plata",414,2009,65,"U.S.A.",3.5,"Dominican Republic","Deserowa"
"Bittersweet Origins","Sambirano",423,2009,75,"U.S.A.",3.25,"Madagascar","Gorzka"
"Bittersweet Origins","Sambirano",431,2009,65,"U.S.A.",3.5,"Madagascar","Deserowa"
"Bittersweet Origins","Sambirano",233,2008,71,"U.S.A.",3,"Madagascar","Gorzka"
"Bittersweet Origins","Bocas del Toro",233,2008,75,"U.S.A.",3.5,"Panama","Gorzka"
"Bittersweet Origins","Puerto Plata",233,2008,68,"U.S.A.",3.75,"Dominican Republic","Deserowa"
"Bittersweet Origins","Ankasa",256,2008,70,"U.S.A.",3,"Ghana","Deserowa"
"Black Mountain","La Red",256,2008,70,"U.S.A.",2.75,"Dominican Republic","Deserowa"
"Black Mountain","Carenero Superior",256,2008,70,"U.S.A.",2.75,"Venezuela","Deserowa"
"Black Mountain","Matiguas",256,2008,70,"U.S.A.",3,"Nicaragua","Deserowa"
"Black River (A. Morin)","Blue Mountain Region",1331,2014,70,"U.K.",2.75,"Jamaica","Deserowa"
"Blanxart","Congo, Grand Cru",1046,2013,82,"Spain",3.5,"Congo","Gorzka"
"Blanxart","Organic Dark",322,2009,72,"Spain",2.75," ","Gorzka"
"Blue Bandana","Akesson's E., Sambirano V.",1740,2016,82,"U.S.A.",3.5,"Madagascar","Gorzka"
"Blue Bandana","Lachua",1752,2016,75,"U.S.A.",2.75,"Guatemala","Gorzka"
"Blue Bandana","Kokoa Kamili",1752,2016,75,"U.S.A.",3.5,"Tanzania","Gorzka"
"Blue Bandana","Zorzal Reserva",1756,2016,75,"U.S.A.",3,"Dominican Republic","Gorzka"
"Blue Bandana","Guatemala",911,2012,70,"U.S.A.",3.5,"Guatemala","Deserowa"
"Blue Bandana","Madagascar",911,2012,70,"U.S.A.",3.75,"Madagascar","Deserowa"
"Bonnat","Selva Maya",1912,2016,75,"France",3.5,"Mexico","Gorzka"
"Bonnat","Kaori",1339,2014,75,"France",4,"Brazil","Gorzka"
"Bonnat","Los Colorados, Santo Domingo, Equateur",1418,2014,75,"France",3.25,"Dominican Republic","Gorzka"
"Bonnat","Surfin",1418,2014,65,"France",3.75,"Venez,Africa,Brasil,Peru,Mex","Deserowa"
"Bonnat","Maragnam",1038,2013,75,"France",3.5,"Brazil","Gorzka"
"Bonnat","Gabon",1042,2013,75,"France",3.25,"Gabon","Gorzka"
"Bonnat","Cuba",629,2011,75,"France",3.5,"Cuba","Gorzka"
"Bonnat","Cusco, Cacao Cusco",629,2011,75,"France",3.5,"Peru","Gorzka"
"Bonnat","Piura Blanco",629,2011,75,"France",3.5,"Peru","Gorzka"
"Bonnat","Libanio",629,2011,75,"France",3.75,"Brazil","Gorzka"
"Bonnat","Haiti",629,2011,75,"France",4,"Haiti","Gorzka"
"Bonnat","Madagascar, 100% criollo",629,2011,75,"France",4,"Madagascar","Gorzka"
"Bonnat","Juliana",672,2011,75,"France",3.5,"Brazil","Gorzka"
"Bonnat","Jamaique",761,2011,75,"France",3.25,"Jamaica","Gorzka"
"Bonnat","Ivory Coast",331,2009,75,"France",3,"Ivory Coast","Gorzka"
"Bonnat","Porcelana, Apotequil",336,2009,75,"France",2.75,"Peru","Gorzka"
"Bonnat","Porcelana, Tabasco, Marfil de Blanco",336,2009,75,"France",3,"Mexico","Gorzka"
"Bonnat","Xoconusco, cacao Real",395,2009,75,"France",3,"Mexico","Gorzka"
"Bonnat","Porcelana, Venezuela",199,2008,75,"France",4,"Venezuela","Gorzka"
"Bonnat","Equateur",123,2007,75,"France",2.5,"Ecuador","Gorzka"
"Bonnat","Trinite",24,2006,75,"France",3.75,"Carribean","Gorzka"
"Bonnat","Ocumare, Puerto Cabello",32,2006,75,"France",4,"Venezuela","Gorzka"
"Bonnat","Maracaibo, El Rosario",48,2006,75,"France",4,"Venezuela","Gorzka"
"Bonnat","Madagascar",75,2006,75,"France",4,"Madagascar","Gorzka"
"Bonnat","One Hundred",81,2006,100,"France",1.5," ","Gorzka"
"Bonnat","Ceylan",81,2006,75,"France",3,"Sri Lanka","Gorzka"
"Bonnat","Chuao",81,2006,75,"France",4,"Venezuela","Gorzka"
"Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",316,2009,77,"Ecuador",3.25,"Ecuador","Gorzka"
"Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",341,2009,100,"Ecuador",1.5,"Ecuador","Gorzka"
"Bowler Man","Maya Mountain",1267,2014,70,"U.S.A.",2.75,"Belize","Deserowa"
"Bowler Man","Conacado",1271,2014,70,"U.S.A.",2.75,"Dominican Republic","Deserowa"
"Brasstown aka It's Chocolate","Guasare, Zulia Prov.",1868,2016,70,"U.S.A.",3.5,"Venezuela","Deserowa"
"Brasstown aka It's Chocolate","O'payo, Waslala",1868,2016,70,"U.S.A.",3.75,"Nicaragua","Deserowa"
"Brasstown aka It's Chocolate","Conacado",1462,2015,68,"U.S.A.",3.75,"Dominican Republic","Deserowa"
"Brasstown aka It's Chocolate","Maya Mountain",1255,2014,70,"U.S.A.",3.75,"Belize","Deserowa"
"Brasstown aka It's Chocolate","Chuao",1355,2014,70,"U.S.A.",4,"Venezuela","Deserowa"
"Brasstown aka It's Chocolate","Cooproagro",1125,2013,72,"U.S.A.",3,"Dominican Republic","Gorzka"
"Brasstown aka It's Chocolate","Camino Verde, Guayas",1125,2013,70,"U.S.A.",3.25,"Ecuador","Deserowa"
"Brasstown aka It's Chocolate","Ghana",1129,2013,75,"U.S.A.",3.5,"Ghana","Gorzka"
"Brasstown aka It's Chocolate","Chuao, Mantuano blend",1129,2013,85,"U.S.A.",3.5,"Venezuela","Gorzka"
"Brazen","Elvesia P.",1514,2015,60,"U.S.A.",3,"Dominican Republic","Deserowa"
"Brazen","Elvesia P.",1514,2015,80,"U.S.A.",3.25,"Dominican Republic","Gorzka"
"Brazen","Alta Verapaz, 2014",1514,2015,70,"U.S.A.",3.5,"Guatemala","Deserowa"
"Brazen","Ambolikapiky P.",1518,2015,80,"U.S.A.",2.75,"Madagascar","Gorzka"
"Brazen","Maya Mountain",1518,2015,80,"U.S.A.",3.25,"Belize","Gorzka"
"Brazen","Ambolikapkly P.",1518,2015,60,"U.S.A.",3.25,"Madagascar","Deserowa"
"Breeze Mill","Jamaica",1149,2013,70,"U.S.A.",3,"Jamaica","Deserowa"
"Bright","Somia Plantation",1231,2014,72,"Australia",3,"Madagascar","Gorzka"
"Bright","Marabel Farms",1231,2014,70,"Australia",3.5,"Dominican Republic","Deserowa"
"Bright","Camino Verde, Balao, Guayas",1231,2014,72,"Australia",3.5,"Ecuador","Gorzka"
"Bright","Gran Couva",1235,2014,68,"Australia",2.75,"Trinidad","Deserowa"
"Britarev","Ecuador",1638,2015,70,"Russia",3.25,"Ecuador","Deserowa"
"Bronx Grrl Chocolate","Dominican Republic",1181,2013,68,"U.S.A.",2.75,"Dominican Republic","Deserowa"
"Burnt Fork Bend","Trinidad",1299,2014,72,"U.S.A.",3.25,"Trinidad","Gorzka"
"Burnt Fork Bend","Mindo",1299,2014,72,"U.S.A.",3.5,"Ecuador","Gorzka"
"Burnt Fork Bend","Belize",1303,2014,72,"U.S.A.",3.25,"Belize","Gorzka"
"Burnt Fork Bend","Blend",1303,2014,72,"U.S.A.",3.25," ","Gorzka"
"Burnt Fork Bend","Ecuador, Bob Bar",1323,2014,60,"U.S.A.",2.5,"Ecuador","Deserowa"
"Cacao Arabuco","Puerto Rico",1606,2015,70,"Puerto Rico",2.5,"Puerto Rico","Deserowa"
"Cacao Atlanta","Tumbes",1215,2014,75,"U.S.A.",2.5,"Peru","Gorzka"
"Cacao Atlanta","Dominican Republic, ""Love Bar""",502,2010,75,"U.S.A.",2.5,"Dominican Republic","Gorzka"
"Cacao Atlanta","Dominican Republic w/ nibs",502,2010,75,"U.S.A.",2.75,"Dominican Republic","Gorzka"
"Cacao Atlanta","Patanemo",600,2010,75,"U.S.A.",2.25,"Venezuela","Gorzka"
"Cacao Barry","Grand 'Anse",1716,2016,65,"France",3.5,"Haiti","Deserowa"
"Cacao Barry","Santo Domingo",586,2010,70,"France",3,"Dominican Republic","Deserowa"
"Cacao Barry","Tanzania",300,2008,75,"France",2,"Tanzania","Gorzka"
"Cacao Barry","Venezuela",141,2007,72,"France",2,"Venezuela","Gorzka"
